Commodity,Date,Unit,Minimum,Maximum,Average
Fish Fresh(Mungari),6/10/2024,KG,Rs 330.00,Rs 340.00,Rs 335.00
King Oyster,6/10/2024,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Big(Nepali),6/9/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),6/9/2024,KG,Rs 55.00,Rs 60.00,Rs 58.33
Tomato Small(Local),6/9/2024,KG,Rs 15.00,Rs 20.00,Rs 17.67
Tomato Small(Tunnel),6/9/2024,KG,Rs 26.00,Rs 33.00,Rs 29.25
Tomato Small(Terai),6/9/2024,KG,Rs 15.00,Rs 20.00,Rs 17.67
Potato Red,6/9/2024,KG,Rs 50.00,Rs 55.00,Rs 52.33
Potato Red(Indian),6/9/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato Red(Mude),6/9/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Onion Dry (Indian),6/9/2024,KG,Rs 75.00,Rs 80.00,Rs 77.67
Carrot(Local),6/9/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cabbage(Local),6/9/2024,KG,Rs 20.00,Rs 28.00,Rs 24.00
Cauli Local,6/9/2024,KG,Rs 65.00,Rs 75.00,Rs 70.00
Cauli Local(Jyapu),6/9/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Raddish Red,6/9/2024,KG,Rs 35.00,Rs 40.00,Rs 37.67
Raddish White(Hybrid),6/9/2024,KG,Rs 30.00,Rs 35.00,Rs 32.67
Brinjal Long,6/9/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,6/9/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),6/9/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Cowpea(Short),6/9/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),6/9/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Hybrid),6/9/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Rajma),6/9/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Soyabean Green,6/9/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Bitter Gourd,6/9/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Bottle Gourd,6/9/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),6/9/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Pointed Gourd(Terai),6/9/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Snake Gourd,6/9/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,6/9/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Sponge Gourd,6/9/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
