Commodity,Date,Unit,Minimum,Maximum,Average
Gundruk,6/9/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),6/9/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Banana,6/9/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Lime,6/9/2024,KG,Rs 230.00,Rs 260.00,Rs 243.33
Pomegranate,6/9/2024,KG,Rs 350.00,Rs 400.00,Rs 376.67
Mango(Maldah),6/9/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mango(Dushari),6/9/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Water Melon(Green),6/9/2024,KG,Rs 35.00,Rs 40.00,Rs 37.67
Mandarin,6/9/2024,KG,Rs 250.00,Rs 280.00,Rs 263.33
Pineapple,6/9/2024,1 Pc,Rs 160.00,Rs 180.00,Rs 170.00
Cucumber(Local),6/9/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cucumber(Hybrid),6/9/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Jack Fruit,6/9/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),6/9/2024,KG,Rs 220.00,Rs 250.00,Rs 233.33
Papaya(Indian),6/9/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Litchi(Local),6/9/2024,KG,Rs 100.00,Rs 150.00,Rs 123.33
Litchi(Indian),6/9/2024,KG,Rs 200.00,Rs 250.00,Rs 226.67
Kiwi,6/9/2024,KG,Rs 550.00,Rs 600.00,Rs 576.67
Avocado,6/9/2024,KG,Rs 550.00,Rs 600.00,Rs 576.67
Ginger,6/9/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Chilli Dry,6/9/2024,KG,Rs 400.00,Rs 450.00,Rs 426.67
Chilli Green,6/9/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Bullet),6/9/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Machhe),6/9/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Capsicum,6/9/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Garlic Green,6/9/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Coriander Green,6/9/2024,KG,Rs 300.00,Rs 350.00,Rs 326.67
Garlic Dry Chinese,6/9/2024,KG,Rs 230.00,Rs 250.00,Rs 240.00
Garlic Dry Nepali,6/9/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Dry,6/9/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Clive Green,6/9/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Fish Fresh(Rahu),6/9/2024,KG,Rs 320.00,Rs 330.00,Rs 325.00
Fish Fresh(Bachuwa),6/9/2024,KG,Rs 240.00,Rs 250.00,Rs 245.00
Fish Fresh(Chhadi),6/9/2024,KG,Rs 240.00,Rs 250.00,Rs 245.00
Fish Fresh(Mungari),6/9/2024,KG,Rs 330.00,Rs 340.00,Rs 335.00
King Oyster,6/9/2024,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Big(Nepali),6/8/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Big(Indian),6/8/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Tomato Small(Local),6/8/2024,KG,Rs 15.00,Rs 22.00,Rs 19.00
Tomato Small(Tunnel),6/8/2024,KG,Rs 28.00,Rs 33.00,Rs 30.60
Tomato Small(Terai),6/8/2024,KG,Rs 15.00,Rs 20.00,Rs 17.50
Potato Red,6/8/2024,KG,Rs 50.00,Rs 55.00,Rs 52.40
Potato Red(Indian),6/8/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato Red(Mude),6/8/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Onion Dry (Indian),6/8/2024,KG,Rs 75.00,Rs 80.00,Rs 78.00
Carrot(Local),6/8/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cabbage(Local),6/8/2024,KG,Rs 20.00,Rs 25.00,Rs 22.00
Cauli Local,6/8/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Local(Jyapu),6/8/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Raddish White(Hybrid),6/8/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Brinjal Long,6/8/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Round,6/8/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),6/8/2024,KG,Rs 110.00,Rs 120.00,Rs 116.00
Cowpea(Short),6/8/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Green Peas,6/8/2024,KG,Rs 220.00,Rs 240.00,Rs 230.00
French Bean(Local),6/8/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Hybrid),6/8/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Rajma),6/8/2024,KG,Rs 140.00,Rs 160.00,Rs 150.00
Soyabean Green,6/8/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bitter Gourd,6/8/2024,KG,Rs 30.00,Rs 40.00,Rs 36.00
Bottle Gourd,6/8/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),6/8/2024,KG,Rs 70.00,Rs 80.00,Rs 76.00
Pointed Gourd(Terai),6/8/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Snake Gourd,6/8/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,6/8/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sponge Gourd,6/8/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,6/8/2024,KG,Rs 35.00,Rs 40.00,Rs 37.00
Squash(Long),6/8/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Squash(Round),6/8/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Okara,6/8/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sweet Potato,6/8/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Christophine,6/8/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brd Leaf Mustard,6/8/2024,KG,Rs 20.00,Rs 30.00,Rs 26.67
Mustard Leaf,6/8/2024,KG,Rs 20.00,Rs 30.00,Rs 26.67
Onion Green,6/8/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Mushroom(Kanya),6/8/2024,KG,Rs 160.00,Rs 200.00,Rs 180.00
Mushroom(Button),6/8/2024,KG,Rs 320.00,Rs 360.00,Rs 345.00
Asparagus,6/8/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Neuro,6/8/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,6/8/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Sugarbeet,6/8/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Drumstick,6/8/2024,KG,Rs 150.00,Rs 200.00,Rs 175.00
Red Cabbbage,6/8/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Lettuce,6/8/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Celery,6/8/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Parseley,6/8/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Mint,6/8/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Turnip A,6/8/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,6/8/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Bamboo Shoot,6/8/2024,KG,Rs 100.00,Rs 110.00,Rs 106.67
Tofu,6/8/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,6/8/2024,KG,Rs 250.00,Rs 300.00,Rs 283.33
Apple(Fuji),6/8/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Banana,6/8/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Lime,6/8/2024,KG,Rs 220.00,Rs 260.00,Rs 240.00
Pomegranate,6/8/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Mango(Maldah),6/8/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mango(Dushari),6/8/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Water Melon(Green),6/8/2024,KG,Rs 35.00,Rs 40.00,Rs 38.33
Mandarin,6/8/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Pineapple,6/8/2024,1 Pc,Rs 160.00,Rs 180.00,Rs 170.00
Cucumber(Local),6/8/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Cucumber(Hybrid),6/8/2024,KG,Rs 25.00,Rs 30.00,Rs 28.00
Jack Fruit,6/8/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),6/8/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Indian),6/8/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Litchi(Local),6/8/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Litchi(Indian),6/8/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Kiwi,6/8/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Avocado,6/8/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Ginger,6/8/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Chilli Dry,6/8/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,6/8/2024,KG,Rs 90.00,Rs 100.00,Rs 96.00
Chilli Green(Bullet),6/8/2024,KG,Rs 90.00,Rs 100.00,Rs 96.00
Chilli Green(Machhe),6/8/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Capsicum,6/8/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Garlic Green,6/8/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Coriander Green,6/8/2024,KG,Rs 350.00,Rs 450.00,Rs 400.00
Garlic Dry Chinese,6/8/2024,KG,Rs 230.00,Rs 250.00,Rs 240.00
Garlic Dry Nepali,6/8/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Dry,6/8/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Fish Fresh(Rahu),6/8/2024,KG,Rs 320.00,Rs 330.00,Rs 325.00
Fish Fresh(Bachuwa),6/8/2024,KG,Rs 240.00,Rs 250.00,Rs 246.67
Fish Fresh(Chhadi),6/8/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),6/8/2024,KG,Rs 330.00,Rs 340.00,Rs 335.00
King Oyster,6/8/2024,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Big(Nepali),6/7/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Tomato Big(Indian),6/7/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),6/7/2024,KG,Rs 20.00,Rs 25.00,Rs 22.50
Tomato Small(Tunnel),6/7/2024,KG,Rs 30.00,Rs 35.00,Rs 32.40
Potato Red,6/7/2024,KG,Rs 50.00,Rs 55.00,Rs 52.50
Potato Red(Indian),6/7/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato Red(Mude),6/7/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Onion Dry (Indian),6/7/2024,KG,Rs 70.00,Rs 75.00,Rs 72.40
Carrot(Local),6/7/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cabbage(Local),6/7/2024,KG,Rs 18.00,Rs 25.00,Rs 21.60
Cauli Local,6/7/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),6/7/2024,KG,Rs 50.00,Rs 60.00,Rs 53.33
Raddish White(Hybrid),6/7/2024,KG,Rs 20.00,Rs 30.00,Rs 26.00
Brinjal Long,6/7/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,6/7/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Cow pea(Long),6/7/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Cowpea(Short),6/7/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Green Peas,6/7/2024,KG,Rs 220.00,Rs 240.00,Rs 230.00
French Bean(Local),6/7/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Hybrid),6/7/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Rajma),6/7/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Soyabean Green,6/7/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bitter Gourd,6/7/2024,KG,Rs 25.00,Rs 30.00,Rs 28.00
Bottle Gourd,6/7/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),6/7/2024,KG,Rs 70.00,Rs 80.00,Rs 76.00
Pointed Gourd(Terai),6/7/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Snake Gourd,6/7/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,6/7/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sponge Gourd,6/7/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Pumpkin,6/7/2024,KG,Rs 35.00,Rs 40.00,Rs 37.50
Squash(Long),6/7/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Squash(Round),6/7/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Okara,6/7/2024,KG,Rs 28.00,Rs 35.00,Rs 31.60
Sweet Potato,6/7/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Arum,6/7/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Christophine,6/7/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brd Leaf Mustard,6/7/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Spinach Leaf,6/7/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Cress Leaf,6/7/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Mustard Leaf,6/7/2024,KG,Rs 20.00,Rs 30.00,Rs 26.67
Fenugreek Leaf,6/7/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Onion Green,6/7/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Mushroom(Kanya),6/7/2024,KG,Rs 180.00,Rs 200.00,Rs 192.00
Mushroom(Button),6/7/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Asparagus,6/7/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Neuro,6/7/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,6/7/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sugarbeet,6/7/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Drumstick,6/7/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Red Cabbbage,6/7/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Lettuce,6/7/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Celery,6/7/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Parseley,6/7/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Fennel Leaf,6/7/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Mint,6/7/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Turnip A,6/7/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,6/7/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Bamboo Shoot,6/7/2024,KG,Rs 100.00,Rs 110.00,Rs 105.00
Tofu,6/7/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,6/7/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Fuji),6/7/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Banana,6/7/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 133.33
Lime,6/7/2024,KG,Rs 250.00,Rs 280.00,Rs 266.00
Pomegranate,6/7/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Mango(Maldah),6/7/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mango(Dushari),6/7/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Water Melon(Green),6/7/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Sweet Orange,6/7/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,6/7/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Pineapple,6/7/2024,1 Pc,Rs 160.00,Rs 180.00,Rs 170.00
Cucumber(Local),6/7/2024,KG,Rs 50.00,Rs 70.00,Rs 60.00
Cucumber(Hybrid),6/7/2024,KG,Rs 25.00,Rs 30.00,Rs 28.33
Jack Fruit,6/7/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pear(Chinese),6/7/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Indian),6/7/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Litchi(Local),6/7/2024,KG,Rs 100.00,Rs 150.00,Rs 125.00
Litchi(Indian),6/7/2024,KG,Rs 240.00,Rs 250.00,Rs 245.00
Kiwi,6/7/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Avocado,6/7/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Ginger,6/7/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Chilli Dry,6/7/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,6/7/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Bullet),6/7/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Machhe),6/7/2024,KG,Rs 30.00,Rs 40.00,Rs 36.67
Capsicum,6/7/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Garlic Green,6/7/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Coriander Green,6/7/2024,KG,Rs 300.00,Rs 400.00,Rs 350.00
Garlic Dry Chinese,6/7/2024,KG,Rs 230.00,Rs 250.00,Rs 242.00
Garlic Dry Nepali,6/7/2024,KG,Rs 170.00,Rs 180.00,Rs 176.67
Clive Dry,6/7/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Fish Fresh(Rahu),6/7/2024,KG,Rs 320.00,Rs 330.00,Rs 325.00
Fish Fresh(Bachuwa),6/7/2024,KG,Rs 240.00,Rs 250.00,Rs 245.00
Fish Fresh(Mungari),6/7/2024,KG,Rs 330.00,Rs 340.00,Rs 335.00
King Oyster,6/7/2024,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Big(Nepali),6/6/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),6/6/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),6/6/2024,KG,Rs 20.00,Rs 25.00,Rs 22.33
Tomato Small(Tunnel),6/6/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Terai),6/6/2024,KG,Rs 20.00,Rs 25.00,Rs 22.33
Potato Red,6/6/2024,KG,Rs 50.00,Rs 55.00,Rs 52.33
Potato Red(Indian),6/6/2024,KG,Rs 45.00,Rs 48.00,Rs 46.33
Potato Red(Mude),6/6/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato White,6/6/2024,KG,Rs 42.00,Rs 45.00,Rs 43.33
Onion Dry (Indian),6/6/2024,KG,Rs 70.00,Rs 75.00,Rs 72.33
Carrot(Local),6/6/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cabbage(Local),6/6/2024,KG,Rs 20.00,Rs 25.00,Rs 22.33
Cauli Local,6/6/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local(Jyapu),6/6/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish Red,6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish White(Hybrid),6/6/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,6/6/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cow pea(Long),6/6/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Cowpea(Short),6/6/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,6/6/2024,KG,Rs 160.00,Rs 180.00,Rs 170.00
French Bean(Local),6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Hybrid),6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Rajma),6/6/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Soyabean Green,6/6/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Bitter Gourd,6/6/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Bottle Gourd,6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pointed Gourd(Local),6/6/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Terai),6/6/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Snake Gourd,6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Smooth Gourd,6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sponge Gourd,6/6/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,6/6/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Squash(Long),6/6/2024,KG,Rs 25.00,Rs 30.00,Rs 27.67
Squash(Round),6/6/2024,KG,Rs 25.00,Rs 30.00,Rs 27.67
Okara,6/6/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Sweet Potato,6/6/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,6/6/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brd Leaf Mustard,6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Spinach Leaf,6/6/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Cress Leaf,6/6/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Mustard Leaf,6/6/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Fenugreek Leaf,6/6/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Onion Green,6/6/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mushroom(Kanya),6/6/2024,KG,Rs 180.00,Rs 220.00,Rs 200.00
Mushroom(Button),6/6/2024,KG,Rs 300.00,Rs 350.00,Rs 326.67
Asparagus,6/6/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Neuro,6/6/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,6/6/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sugarbeet,6/6/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Drumstick,6/6/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Red Cabbbage,6/6/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Lettuce,6/6/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Celery,6/6/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Parseley,6/6/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Fennel Leaf,6/6/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Mint,6/6/2024,KG,Rs 150.00,Rs 180.00,Rs 163.33
Turnip A,6/6/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,6/6/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Bamboo Shoot,6/6/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Tofu,6/6/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,6/6/2024,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),6/6/2024,KG,Rs 300.00,Rs 320.00,Rs 310.00
Banana,6/6/2024,Per Dozen,Rs 120.00,Rs 130.00,Rs 125.00
Lime,6/6/2024,KG,Rs 200.00,Rs 240.00,Rs 223.33
Pomegranate,6/6/2024,KG,Rs 350.00,Rs 400.00,Rs 376.67
Mango(Maldah),6/6/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mango(Dushari),6/6/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Water Melon(Green),6/6/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Sweet Orange,6/6/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,6/6/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Pineapple,6/6/2024,1 Pc,Rs 160.00,Rs 180.00,Rs 170.00
Cucumber(Local),6/6/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Cucumber(Hybrid),6/6/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Jack Fruit,6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pear(Chinese),6/6/2024,KG,Rs 220.00,Rs 250.00,Rs 233.33
Papaya(Nepali),6/6/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Papaya(Indian),6/6/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Litchi(Local),6/6/2024,KG,Rs 100.00,Rs 150.00,Rs 126.67
Litchi(Indian),6/6/2024,KG,Rs 200.00,Rs 250.00,Rs 226.67
Kiwi,6/6/2024,KG,Rs 550.00,Rs 600.00,Rs 576.67
Avocado,6/6/2024,KG,Rs 550.00,Rs 600.00,Rs 576.67
Ginger,6/6/2024,KG,Rs 280.00,Rs 300.00,Rs 290.00
Chilli Dry,6/6/2024,KG,Rs 400.00,Rs 450.00,Rs 426.67
Chilli Green,6/6/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Bullet),6/6/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Machhe),6/6/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Capsicum,6/6/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Garlic Green,6/6/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Coriander Green,6/6/2024,KG,Rs 350.00,Rs 400.00,Rs 376.67
Garlic Dry Chinese,6/6/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Garlic Dry Nepali,6/6/2024,KG,Rs 180.00,Rs 190.00,Rs 185.00
Clive Dry,6/6/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Clive Green,6/6/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Fish Fresh(Rahu),6/6/2024,KG,Rs 320.00,Rs 330.00,Rs 325.00
Fish Fresh(Bachuwa),6/6/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Chhadi),6/6/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),6/6/2024,KG,Rs 330.00,Rs 340.00,Rs 335.00
King Oyster,6/6/2024,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Big(Nepali),6/5/2024,KG,Rs 45.00,Rs 55.00,Rs 50.00
Tomato Big(Indian),6/5/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),6/5/2024,KG,Rs 20.00,Rs 25.00,Rs 23.00
Tomato Small(Tunnel),6/5/2024,KG,Rs 32.00,Rs 37.00,Rs 33.60
Tomato Small(Terai),6/5/2024,KG,Rs 20.00,Rs 25.00,Rs 22.50
Potato Red,6/5/2024,KG,Rs 50.00,Rs 55.00,Rs 52.40
Potato Red(Indian),6/5/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato Red(Mude),6/5/2024,KG,Rs 46.00,Rs 48.00,Rs 47.00
Potato White,6/5/2024,KG,Rs 42.00,Rs 45.00,Rs 43.50
